PER,USG%,WS
13.2,18.5,3.5
23.3,29.5,11.9
17.9,19.6,6.1
13.2,13.5,0.8
13.1,20.2,1.8
12.1,17.4,1.3
13.5,19,1.1
11.2,16.6,0.7
9.1,13.7,0.7
15.2,24.5,5
14,22.7,3.7
14.7,16.5,1.8
15.9,18.6,2.7
11,18.4,1.6
10.9,16.3,1.1
9.4,15.4,1.9
12.5,21.6,1.2
9,11,3.3
17.5,22.1,4.4
21.1,30.9,6.8
11.6,11.7,3.7
10.7,14.3,0.8
16.1,15.8,1.1
13.2,16.6,0.8
8.5,14.1,0.7
18.7,22.9,6.1
11.4,16.6,2.4
15.3,24,2
13.4,18.3,3.3
12.4,16.5,1.4
11.7,12,2
10.4,18.1,0.9
5.2,11.3,0
6.8,10.4,0.5
16.3,24.9,4.8
8.9,20.4,-0.1
24.4,30.4,9.7
10.9,15.2,2.1
18.5,16.4,9.1
9.8,19.4,0
16.9,17.5,1.6
13.4,15,2.9
16.3,22.7,2.1
17.8,17.2,5.1
11.9,19.5,1.5
6.4,10.6,2.8
15.4,23.9,4.3
12.9,18.6,3.2
12.1,12.9,1.5
16.2,18,6.9
21,17.6,5.6
10.2,13.7,0.9
11.8,17.4,0.4
13.6,25.4,1.8
9,16.5,0.3
17.2,22.8,7.1
14.1,14.1,4.7
15.3,25.5,0.9
10.7,12.9,3.2
10.4,12.4,3
17,28.4,3.3
6.1,12.8,0.5
13,18.2,1.9
16.5,24.8,1.9
12.7,23.4,1.2
11.1,16.5,0.6
9.8,17.6,0.3
13.1,20.7,0.7
12.4,18.5,2.3
11.5,26.4,0.3
7,18.7,-0.3
11.2,8.5,2.1
13.7,14.1,3
17.6,27.9,2.3
11.8,16.7,1.9
12.5,17.7,1.6
8.3,18.4,-0.3
15.2,19.1,1.9
8.7,12.8,1.9
5.5,12,0
10.3,17.8,2.7
11,20,1.2
18,17.5,6.7
20.4,22.1,2.6
8.5,11.8,1.5
12.7,16.3,1.9
13.5,16.6,2.9
18.7,30.5,2.8
13.7,15,2.3
